iter	RMSE
0	0.8399416964
1	0.829663504
2	0.8195801315
3	0.8098764012
4	0.8004142776
5	0.7911323873
6	0.782172822
7	0.7735562654
8	0.7650720886
9	0.7567383667
10	0.7486485019
11	0.7407211709
12	0.7329768647
13	0.7255105734
14	0.71822181
15	0.7111061775
16	0.7041858869
17	0.6974762151
18	0.6908854519
19	0.6844925359
20	0.6782965882
21	0.6722259996
22	0.6663553495
23	0.6606892043
24	0.6550872441
25	0.6496554527
26	0.6443088103
27	0.6392481151
28	0.6339771671
29	0.6291236973
30	0.6244558257
31	0.6197491453
32	0.6151193094
33	0.6106953259
34	0.6064233084
35	0.6022049921
36	0.5982089352
37	0.5941947476
38	0.590224947
39	0.586516103
40	0.5828952972
41	0.5792391235
42	0.575482369
43	0.5717935577
44	0.5683685382
45	0.5651664847
46	0.5619816841
47	0.5587261665
48	0.5556944233
49	0.5524974962
50	0.549466922
51	0.5467447473
52	0.543814739
53	0.540952248
54	0.5383267175
55	0.5357631999
56	0.5330966912
57	0.5307274351
58	0.5284280433
59	0.5261274657
60	0.5238429969
61	0.5214246354
62	0.5192230304
63	0.5171356755
64	0.5149481446
65	0.5128348025
66	0.5108649839
67	0.5089004822
68	0.5070931198
69	0.5052819103
70	0.5035037252
71	0.5017727207
72	0.5001516858
73	0.4984234297
74	0.4968291497
75	0.4952654198
76	0.4935357182
77	0.4920332178
78	0.4903128044
79	0.4886495131
80	0.4871639351
81	0.4856281883
82	0.484318572
83	0.4830399862
84	0.4817194841
85	0.4802758409
86	0.4788417417
87	0.4775155124
88	0.4761440527
89	0.4749891236
90	0.4738120121
91	0.4726569814
92	0.4716156668
93	0.4703171163
94	0.4690754088
95	0.4680423677
96	0.4670898679
97	0.4659742724
98	0.4647700906
99	0.4636728372
100	0.4626625252
101	0.461613656
102	0.4606601477
103	0.4595472508
104	0.4584675517
105	0.4575187522
106	0.4567101176
107	0.4557820423
108	0.4548856025
109	0.4540891248
110	0.453364339
111	0.4524165764
112	0.4516421924
113	0.4507985628
114	0.449864157
115	0.449003263
116	0.4480862934
117	0.4472747664
118	0.4466111625
119	0.4458094447
120	0.4451178944
121	0.4444225987
122	0.443677612
123	0.4429815639
124	0.4422733524
125	0.4415658579
126	0.4408703573
127	0.4402028758
128	0.4396441716
129	0.4389768757
130	0.4383614779
131	0.4377621131
132	0.4372099737
133	0.4365856984
134	0.4360644188
135	0.435495161
136	0.4349857091
137	0.4342536251
138	0.4337569085
139	0.4332118297
140	0.432653253
141	0.4321910123
142	0.4316374959
143	0.4311019306
144	0.4305212971
145	0.4299715139
146	0.4295415295
147	0.4290882983
148	0.4286053521
149	0.4281408749
150	0.4276459701
151	0.4270679495
152	0.426617524
153	0.4262097025
154	0.4257576164
155	0.4253436809
156	0.4249145329
157	0.4245487095
158	0.4240771205
159	0.4236894627
160	0.4232680443
161	0.422716408
162	0.4223283729
163	0.4219532627
164	0.4214569479
165	0.4210273198
166	0.4206965418
167	0.4202661363
168	0.4199419184
169	0.4195133065
170	0.4190145898
171	0.4186127164
172	0.4182805505
173	0.4179440914
174	0.4175780391
175	0.4172336114
176	0.416840685
177	0.4164597644
178	0.4161480959
179	0.4157391715
180	0.4153358853
181	0.4150523661
182	0.4146765108
183	0.4143925735
184	0.414102284
185	0.4138237189
186	0.4134272055
187	0.4130583883
188	0.4127840903
189	0.4123801129
190	0.4120530158
191	0.4116782642
192	0.4113472444
193	0.4110826347
194	0.4107706374
195	0.4104478554
196	0.4101514661
197	0.4099400227
198	0.4096495571
199	0.4093841332
200	0.4090041525
201	0.4087336557
202	0.4084640981
203	0.4081718138
204	0.4078645102
205	0.4075810296
206	0.4073025073
207	0.407041164
208	0.4067496172
209	0.406437917
210	0.4062124397
211	0.4059249333
212	0.4056348533
213	0.4054249725
214	0.4051351572
215	0.4048921837
216	0.4046064015
217	0.4044113116
218	0.4041285466
219	0.4038992988
220	0.4035443452
221	0.4032620204
222	0.4029887352
223	0.4027192768
224	0.4024118586
225	0.4021793777
226	0.4018770261
227	0.4016615154
228	0.4014395543
229	0.4012452185
230	0.4010050396
231	0.4007215043
232	0.4004490051
233	0.4002041405
234	0.4000111305
235	0.3997311201
236	0.3994270689
237	0.3991807577
238	0.3989767435
239	0.3987431831
240	0.3984958162
241	0.3982576256
242	0.3979550184
243	0.3977499813
244	0.3975329364
245	0.397285468
246	0.3971024739
247	0.3969069078
248	0.3967039413
249	0.396483263
250	0.3962521042
251	0.3960450837
252	0.395829946
253	0.3955945622
254	0.3953993538
255	0.3952001329
256	0.3949903172
257	0.3947806491
258	0.3945340292
259	0.394340163
260	0.394156822
261	0.3939316709
262	0.3936907881
263	0.3935293901
264	0.39335614
265	0.3932075569
266	0.3929862511
267	0.3927978869
268	0.3926072096
269	0.3924085518
270	0.3922416203
271	0.3919958553
272	0.3917262147
273	0.3916120948
274	0.3914769739
275	0.3912372983
276	0.3910789497
277	0.3908674451
278	0.3907210564
279	0.3905327519
280	0.3904038412
281	0.3901838981
282	0.3899934986
